Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-05-01,Transferência,Coordenador de Unidade,1 (um),CAA-3,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Assistente Técnico
2026-05-01,Transferência,Assistente Técnico,2 (dois),CAA-3,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Auxiliar Técnico
2026-05-01,Transferência,Assistente Técnico de Contratações,1 (um),CAA-4,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Auxiliar Técnico
2026-05-01,Transferência,Auxiliar de Contabilidade,1 (um),CAA-5,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Auxiliar Administrativo
2026-05-01,Transferência,Auxiliar Técnico,1 (um),CAA-5,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Auxiliar Administrativo
2026-05-01,Transferência,Assistente de Apoio,3 (três),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-05-01,Transferência,"Secretário Executivo de Planejamento, Administração e Gestão",1 (um),DAS-1,Secretaria de Comunicação,Secretaria da Casa Civil,Assessor Especial
2026-05-01,Transferência,Gerente de Sistematização e Disseminação de Informações,1 (um),DAS-4,Agência Estadual de Planejamento e Pesquisas de Pernambuco - CONDEPE/FIDEM,Secretaria da Casa Civil,Assessor Especial de Articulação e Acompanhamento
2026-05-01,Transferência,Gestor Técnico de Monitoramento e Sustentação,1 (um),DAS-5,Secretaria de Administração,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-05-01,Transferência,Gestor Técnico de Projetos Estratégicos,1 (um),DAS-5,Fundação de Amparo à Ciência e Tecnologia - FACEPE,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-05-01,Transferência,Auxiliar Técnico,2 (dois),CAA-4,Secretaria da Mulher,Secretaria da Casa Civil,-
2026-05-01,Transferência,Auxiliar Técnico,2 (dois),CAA-4,Secretaria da Mulher,Conselho Estadual de Defesa dos Direitos da Criança e do Adolescente de Pernambuco - CEDCA/PE,-
2026-05-01,Alocação,Gestor de Acompanhamento das Atividades Públicas,1 (um),DAS-5,-,Secretaria da Casa Civil,-
2026-05-09,Alocação,-,2 (dois),-,-,Secretaria da Casa Civil,-
2026-05-09,Transferência,Auxiliar Administrativo,1 (um),CAA-5,"Secretaria da Casa Civil,",Secretaria de Assistência Social,-
2026-05-12,Transferência,Chefe de Núcleo Administrativo da Escola de Referência do Ensino Médio,1 (um),CAA-4,"Secretaria de Educação,",Secretaria da Saúde,Auxiliar Operacional
2026-05-12,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,4 (quatro),CAA-4,"Secretaria de Educação,",Secretaria de Saúde,Auxiliar Operacional
2026-05-12,Redenominação,Chefe do Núcleo de Suporte,1 (um),CAA-2,-,-,Coordenador de Suporte
2026-05-12,Transferência,Gestor de Articulação Governamental,1 (um),DAS-5,Secretaria da Casa Civil,Secretaria de Administração,Gestor Técnico de Monitoramento e Suporte
